Collar,Experiment,Destination_Plot,Dest_Site,meanFlux,meanSM,meanT5,Date
69,Control,HSLE,GCReW,1.5299999999999998,0.5465859375000001,2,2019-01-23
70,Control,HSLE,GCReW,1.56,0.47914285714285715,4.9,2019-01-23
71,Control,HSLE,GCReW,0.345,0.4443571428571429,-0.1,2019-01-23
72,Control,HSLE,GCReW,0.6699999999999999,0.4879285714285714,-0.2,2019-01-23
69,Control,HSLE,GCReW,4.88,1.6920714285714284,19.63526055194805,2018-10-05
70,Control,HSLE,GCReW,5.6,1.6864285714285714,19.84865564123377,2018-10-05
71,Control,HSLE,GCReW,2.65,1.6924140625000001,19.61225872564935,2018-10-05
72,Control,HSLE,GCReW,5.355,1.692357142857143,19.497981737012985,2018-10-05
69,Control,HSLE,GCReW,1.855,1.689,13.360761262175325,2018-11-01
70,Control,HSLE,GCReW,2.585,1.689,13.414377637987013,2018-11-01
71,Control,HSLE,GCReW,1.5950000000000002,1.6884140625000001,13.088484172077923,2018-11-01
72,Control,HSLE,GCReW,3.015,1.6685714285714286,13.214367390422078,2018-11-01
70,Control,HSLE,GCReW,1.39,0.5155135690789474,6.5,2018-12-07
71,Control,HSLE,GCReW,1.2650000000000001,0.54,4,2018-12-07
69,Control,HSLE,GCReW,1.015,0.5516973684210527,5.752100740131579,2019-03-12
70,Control,HSLE,GCReW,3.6325,0.5199337993421053,6.261446340460526,2019-03-12
71,Control,HSLE,GCReW,0.5125,0.563,5.864857113486842,2019-03-12
72,Control,HSLE,GCReW,0.6,0.5338552631578948,5.583057976973684,2019-03-12
69,Control,HSLE,GCReW,3.03,0.4757239583333333,12.193865327380953,2018-04-13
70,Control,HSLE,GCReW,2.1366666666666667,0.410609375,10.967519751082252,2018-04-13
71,Control,HSLE,GCReW,1.5266666666666666,0.4553854166666667,12.686001893939395,2018-04-13
72,Control,HSLE,GCReW,3.11,0.4416675480769231,12.196269898851149,2018-04-13
69,Control,HSLE,GCReW,3.84,0.481480177238806,11.531387360074627,2018-04-18
70,Control,HSLE,GCReW,2.7733333333333334,0.4834672619047619,10.835558779761906,2018-04-18
71,Control,HSLE,GCReW,1.2166666666666668,0.48423809523809525,13.984819805194805,2018-04-18
72,Control,HSLE,GCReW,2.09,0.5042857142857143,10.927813108766234,2018-04-18
69,Control,HSLE,GCReW,7.39,0.4973947368421052,14.796575246710526,2018-04-26
70,Control,HSLE,GCReW,3.3,0.4444285714285714,14.667492390422078,2018-04-26
71,Control,HSLE,GCReW,1.92,0.513,18.665286728896106,2018-04-26
72,Control,HSLE,GCReW,2.325,0.4428303571428571,16.05546834415584,2018-04-26
71,Control,HSLE,GCReW,1.7733333333333332,0.4234227300995025,9.036440764925374,2018-04-05
72,Control,HSLE,GCReW,1.9966666666666666,0.33688616071428573,7.4910060876623374,2018-04-05
69,Control,HSLE,GCReW,2.3866666666666667,0.49595299145299143,8.511289396367522,2018-04-06
70,Control,HSLE,GCReW,1.3566666666666667,0.41104700854700854,8.311797142094017,2018-04-06
69,Control,HSLE,GCReW,5.6899999999999995,0.48806341314935064,15.831132406655843,2018-05-02
71,Control,HSLE,GCReW,1.975,0.51,21.44953796203796,2018-05-02
72,Control,HSLE,GCReW,2.8449999999999998,0.4659220779220779,17.871393161525972,2018-05-02
72,Control,HSLE,GCReW,4.66,0.48842857142857143,21.783302556818178,2018-05-25
70,Control,HSLE,GCReW,4.305,0.45985714285714285,18.532406351461038,2018-05-03
69,Control,HSLE,GCReW,3.085,0.479,16.258148026315787,2018-05-09
70,Control,HSLE,GCReW,4.18,0.4444274553571429,15.336377435064936,2018-05-09
71,Control,HSLE,GCReW,2.505,0.4587828947368421,18.194883223684208,2018-05-09
72,Control,HSLE,GCReW,3.28,0.46964925986842104,16.538689967105263,2018-05-09
69,Control,HSLE,GCReW,4.029999999999999,0.4598716517857143,19.55482132711039,2018-06-12
70,Control,HSLE,GCReW,5.605,0.4155,18.960320312500002,2018-06-12
71,Control,HSLE,GCReW,3.49,0.4373426339285714,20.214463372564936,2018-06-12
72,Control,HSLE,GCReW,4.04,0.4556573660714286,19.253444805194803,2018-06-12
69,Control,HSLE,GCReW,11.57,0.34935714285714287,25.9430505275974,2018-07-16
70,Control,HSLE,GCReW,11.735,0.34041517857142856,24.571501420454545,2018-07-16
71,Control,HSLE,GCReW,9.01,0.20651450892857143,26.697037439123378,2018-07-16
72,Control,HSLE,GCReW,8.67,0.3769988839285714,25.65988849431818,2018-07-16
69,Control,HSLE,GCReW,11.745000000000001,0.405,27.498880519480522,2018-07-05
70,Control,HSLE,GCReW,13.805,0.4347885551948052,25.18914732142857,2018-07-05
71,Control,HSLE,GCReW,8.879999999999999,0.43130022321428574,26.870949776785714,2018-07-05
72,Control,HSLE,GCReW,9.059999999999999,0.44534263392857143,26.687693080357143,2018-07-05
69,Control,HSLE,GCReW,5.965,0.4930714285714286,24.55801065340909,2018-08-16
70,Control,HSLE,GCReW,8.485,0.457,24.45796489448052,2018-08-16
71,Control,HSLE,GCReW,5.58,0.4610714285714286,24.61581544237013,2018-08-16
72,Control,HSLE,GCReW,7.085000000000001,0.4632433035714286,25.001957487824676,2018-08-16
69,Control,HSLE,GCReW,3.475,0.43744308035714285,21.509144074675326,2018-08-23
70,Control,HSLE,GCReW,5.675,0.44492857142857145,21.578328371628373,2018-08-23
71,Control,HSLE,GCReW,4.755,0.44344308035714286,21.035508116883115,2018-08-23
72,Control,HSLE,GCReW,7.2299999999999995,0.4297142857142857,41.8493882913961,2018-08-23
69,Control,HSLE,GCReW,3.69,0.4819285714285715,24.679409902597403,2018-08-06
70,Control,HSLE,GCReW,6.97,0.45492857142857146,25.31340523538961,2018-08-06
71,Control,HSLE,GCReW,5.925000000000001,0.5057142857142858,24.844786728896104,2018-08-06
72,Control,HSLE,GCReW,5.335000000000001,0.4870714285714286,24.181895900974027,2018-08-06
